1.550000000000000000e+02,1.150000000000000000e+02,1.110000000000000000e+02
2.340000000000000000e+02,2.100000000000000000e+02,2.060000000000000000e+02
9.600000000000000000e+01,1.740000000000000000e+02,2.300000000000000000e+02
1.080000000000000000e+02,1.560000000000000000e+02,1.070000000000000000e+02
1.690000000000000000e+02,1.810000000000000000e+02,2.390000000000000000e+02
9.900000000000000000e+01,2.360000000000000000e+02,2.350000000000000000e+02
2.460000000000000000e+02,1.740000000000000000e+02,6.400000000000000000e+01
6.200000000000000000e+01,1.170000000000000000e+02,2.340000000000000000e+02
2.360000000000000000e+02,1.270000000000000000e+02,1.710000000000000000e+02
1.350000000000000000e+02,8.200000000000000000e+01,1.870000000000000000e+02
2.080000000000000000e+02,2.350000000000000000e+02,6.800000000000000000e+01
2.530000000000000000e+02,2.150000000000000000e+02,5.200000000000000000e+01
3.500000000000000000e+01,7.100000000000000000e+01,2.210000000000000000e+02
6.700000000000000000e+01,2.100000000000000000e+02,1.180000000000000000e+02
2.280000000000000000e+02,8.500000000000000000e+01,1.120000000000000000e+02
2.540000000000000000e+02,2.410000000000000000e+02,0.000000000000000000e+00
2.340000000000000000e+02,1.300000000000000000e+02,2.260000000000000000e+02
1.000000000000000000e+00,1.990000000000000000e+02,2.390000000000000000e+02
2.550000000000000000e+02,2.550000000000000000e+02,2.550000000000000000e+02
2.340000000000000000e+02,2.420000000000000000e+02,2.530000000000000000e+02
2.120000000000000000e+02,2.220000000000000000e+02,2.310000000000000000e+02
1.700000000000000000e+02,1.860000000000000000e+02,1.990000000000000000e+02
1.210000000000000000e+02,1.340000000000000000e+02,1.510000000000000000e+02
8.000000000000000000e+01,9.300000000000000000e+01,1.100000000000000000e+02
